"ID","PredictedMonthlyIncome"
871,5518.70232634244
872,2750.55343235974
873,12441.3878120086
874,2117.14768787313
875,2473.29834252888
876,6329.04688633181
877,5564.1217168758
878,1980.88951627304
879,2712.33851143753
880,12668.4847646754
881,9680.44338763706
882,2473.29834252888
883,5738.5948093981
884,5427.86354527571
885,5920.27237153155
886,5647.75602833138
887,5965.69176206491
888,5784.01419993146
889,5552.17850063396
890,2795.97282289311
891,5874.85298099819
892,8817.47496750318
893,8817.47496750318
894,5473.28293580907
895,9725.86277817043
896,8953.73313910327
897,8908.31374856991
898,15840.7667816781
899,5920.27237153155
900,2795.97282289311
901,2427.87895199552
902,5700.37988847588
903,6283.62749579845
904,2518.71773306224
905,16333.1756079339
906,5382.44415474235
907,9097.1957803145
908,5829.43359046483
909,2246.20138986207
910,2568.8758702263
911,19283.7092308469
912,2576.08033983744
913,2473.29834252888
914,12845.5209350286
915,5829.43359046483
916,5325.08154796715
917,2659.71465129302
918,5693.17541886474
919,2568.8758702263
920,2700.39529519569
921,2705.13404182638
922,2200.78199932871
923,5506.7591101006
924,5654.96049794252
925,16787.3695132675
926,2609.55651412897
927,5920.27237153155
928,13171.3683051701
929,1935.47012573968
930,2253.40585947322
931,5882.05745060933
932,12717.1743998365
933,8862.89435803654
934,2026.3089068064
935,2200.78199932871
936,2071.72829733977
937,9180.83009177008
938,8960.93760871441
939,6283.62749579845
940,2568.8758702263
941,2836.65346679578
942,8908.31374856991
943,9680.44338763706
944,5647.75602833138
945,2523.45647969293
946,5473.28293580907
947,2568.8758702263
948,2659.71465129302
949,2621.4997303708
950,5564.1217168758
951,2712.33851143753
952,5829.43359046483
953,5829.43359046483
954,2162.56707840649
955,5241.44723651157
956,8817.47496750318
957,10089.2179024373
958,2344.24464053994
959,9362.50765390353
960,19965.0000888473
961,2795.97282289311
962,5874.85298099819
963,5791.21866954261
964,6011.11115259828
965,2614.29526075966
966,19465.3867929803
967,2750.55343235974
968,8862.89435803654
969,16340.3800775451
970,2382.45956146216
971,5784.01419993146
972,5920.27237153155
973,2117.14768787313
974,2568.8758702263
975,5693.17541886474
976,2705.13404182638
977,6329.04688633181
978,2795.97282289311
979,9180.83009177008
980,19139.5394228388
981,2795.97282289311
982,9089.99131070336
983,2427.87895199552
984,2750.55343235974
985,5829.43359046483
986,2621.4997303708
987,2303.56399663727
988,5784.01419993146
989,9097.1957803145
990,2659.71465129302
991,6056.53054313164
992,2750.55343235974
993,6011.11115259828
994,5427.86354527571
995,5473.28293580907
996,6192.78871473172
997,2394.40277770399
998,16522.7648064753
999,8953.73313910327
1000,2200.78199932871
1001,6192.78871473172
1002,5427.86354527571
1003,5920.27237153155
1004,6374.46627686517
1005,2977.65038502656
1006,5874.85298099819
1007,2614.29526075966
1008,5920.27237153155
1009,19275.7975944389
1010,6056.53054313164
1011,8915.51821818105
1012,6011.11115259828
1013,6056.53054313164
1014,5332.2860175783
1015,5609.54110740916
1016,2518.71773306224
1017,2609.55651412897
1018,8862.89435803654
1019,8953.73313910327
1020,2258.14460610391
1021,5874.85298099819
1022,5518.70232634244
1023,5784.01419993146
1024,9278.87334244795
1025,15840.7667816781
1026,18783.3887681831
1027,5874.85298099819
1028,5693.17541886474
1029,5647.75602833138
1030,9498.76582550361
1031,5647.75602833138
1032,2977.65038502656
1033,12671.7550093031
1034,2568.8758702263
1035,5332.2860175783
1036,2568.8758702263
1037,5738.5948093981
1038,9135.41070123672
1039,12671.7550093031
1040,5965.69176206491
1041,2162.56707840649
1042,2795.97282289311
1043,8862.89435803654
1044,6283.62749579845
